Image,Channel,mean,median,std
photo_2025-03-10_20-21-20.jpg,H,0.00390625,0.0,0.03014757
photo_2025-03-10_20-21-20.jpg,S,0.00390625,0.001279914,0.028893061
photo_2025-03-10_20-21-20.jpg,V,0.00390625,0.0016951057,0.02165434
photo_2025-03-10_20-21-25.jpg,H,0.00390625,5.9218317e-05,0.021717018
photo_2025-03-10_20-21-25.jpg,S,0.00390625,0.0012464046,0.020873114
photo_2025-03-10_20-21-25.jpg,V,0.00390625,0.0021318593,0.01894904
photo_2025-03-10_20-21-27.jpg,H,0.00390625,0.0,0.022676293
photo_2025-03-10_20-21-27.jpg,S,0.00390625,0.00037923176,0.0102597205
photo_2025-03-10_20-21-27.jpg,V,0.00390625,0.00072265626,0.0066306866
photo_2025-03-10_20-21-30.jpg,H,0.00390625,2.489877e-05,0.012418411
photo_2025-03-10_20-21-30.jpg,S,0.00390625,0.0012584084,0.0050319647
photo_2025-03-10_20-21-30.jpg,V,0.00390625,0.0030968357,0.0037812684
photo_2025-03-10_20-21-33.jpg,H,0.00390625,1.1492403e-05,0.030603517
photo_2025-03-10_20-21-33.jpg,S,0.00390625,0.0008887459,0.028221354
photo_2025-03-10_20-21-33.jpg,V,0.00390625,0.0011798867,0.030834919
photo_2025-03-10_22-05-45.jpg,H,0.00390625,0.00010133333,0.009777714
photo_2025-03-10_22-05-45.jpg,S,0.00390625,0.0023973333,0.004692821
photo_2025-03-10_22-05-45.jpg,V,0.00390625,0.0038266666,0.0025301692
photo_2025-03-10_22-05-48.jpg,H,0.00390625,0.0,0.021397822
photo_2025-03-10_22-05-48.jpg,S,0.00390625,0.0017462247,0.012549147
photo_2025-03-10_22-05-48.jpg,V,0.00390625,0.00393312,0.0032068703
